,0
170,x<10min
171,x<10min
172,x<10min
173,x<10min
174,x<10min
175,x<10min
176,x<10min
177,x<10min
178,x<10min
179,x<10min
180,x<10min
181,x<10min
182,x<10min
183,x<10min
184,x<10min
185,x<10min
186,x<10min
187,x<10min
188,x<10min
189,x<10min
190,x<10min
191,x<10min
192,x<10min
193,x<10min
194,x<10min
195,x<10min
196,x<10min
197,x<10min
198,x<10min
199,x<10min
200,x<10min
201,x<10min
202,x<10min
203,x<10min
204,x<10min
205,x<10min
206,x<10min
207,x<10min
208,x<10min
209,x<10min
210,x<10min
211,x<10min
212,x<10min
213,x<10min
214,x<10min
215,x<10min
216,x<10min
217,x<10min
218,x<10min
219,x<10min
220,x<10min
221,x<10min
222,x<10min
223,x<10min
224,x<10min
225,x<10min
226,x<10min
227,x<10min
228,x<10min
229,x<10min
230,x<10min
231,x<10min
232,x<10min
233,x<10min
234,x<10min
235,x<10min
236,x<10min
237,x<10min
238,x<10min
239,x<10min
240,x<10min
241,x<10min
242,x<10min
243,x<10min
244,x<10min
245,x<10min
246,x<10min
247,x<10min
248,x<10min
249,x<10min
250,x<10min
251,x<10min
252,x<10min
253,x<10min
254,x<10min
255,x<10min
256,x<10min
257,x<10min
258,x<10min
259,x<10min
260,x<10min
261,x<10min
262,x<10min
263,x<10min
264,x<10min
265,x<10min
266,x<10min
267,x<10min
268,x<10min
269,x<10min
270,x<10min
271,x<10min
272,x<10min
273,x<10min
274,x<10min
275,x<10min
276,x<10min
277,x<10min
278,x<10min
279,x<10min
280,x<10min
281,x<10min
282,x<10min
283,x<10min
284,x<10min
285,x<10min
286,x<10min
287,x<10min
288,x<10min
289,x<10min
290,x<10min
291,x<10min
292,x<10min
293,x<10min
294,x<10min
295,x<10min
296,x<10min
297,x<10min
298,x<10min
299,x<10min
300,x<10min
301,x<10min
302,x<10min
303,x<10min
304,x<10min
305,x<10min
306,x<10min
307,x<10min
308,x<10min
309,x<10min
310,x<10min
311,x<10min
312,x<10min
313,x<10min
314,x<10min
315,x<10min
316,x<10min
317,x<10min
318,x<10min
319,x<10min
320,x<10min
321,x<10min
322,x<10min
323,x<10min
324,x<10min
325,x<10min
326,x<10min
327,x<10min
328,x<10min
329,x<10min
330,x<10min
331,x<10min
332,x<10min
333,x<10min
334,x<10min
335,x<10min
336,x<10min
337,x<10min
338,x<10min
339,x<10min
340,x<10min
341,x<10min
342,x<10min
343,x<10min
344,x<10min
345,x<10min
346,x<10min
347,x<10min
348,x<10min
349,x<10min
350,x<10min
351,x<10min
352,x<10min
353,x<10min
354,x<10min
355,x<10min
356,x<10min
357,x<10min
358,x<10min
359,x<10min
360,x<10min
361,x<10min
362,x<10min
363,x<10min
364,x<10min
365,x<10min
366,x<10min
367,x<10min
368,x<10min
369,x<10min
370,x<10min
371,x<10min
372,x<10min
373,x<10min
374,x<10min
375,x<10min
376,x<10min
377,x<10min
378,x<10min
379,x<10min
380,x<10min
381,x<10min
382,x<10min
383,x<10min
384,x<10min
385,x<10min
386,x<10min
387,x<10min
388,x<10min
389,x<10min
390,x<10min
391,x<10min
392,x<10min
393,x<10min
394,x<10min
395,x<10min
396,x<10min
397,x<10min
398,x<10min
399,x<10min
400,x<10min
401,x<10min
402,x<10min
403,x<10min
404,x<10min
405,x<10min
406,x<10min
407,x<10min
408,x<10min
409,x<10min
410,x<10min
411,x<10min
412,x<10min
413,x<10min
414,x<10min
415,x<10min
416,x<10min
417,x<10min
418,x<10min
419,x<10min
420,x<10min
421,x<10min
422,x<10min
423,x<10min
424,x<10min
425,x<10min
426,x<10min
427,x<10min
428,x<10min
429,x<10min
430,x<10min
431,x<10min
432,x<10min
433,x<10min
434,x<10min
435,x<10min
436,x<10min
437,x<10min
438,x<10min
439,x<10min
440,x<10min
441,x<10min
442,x<10min
443,x<10min
444,x<10min
445,x<10min
446,x<10min
447,x<10min
448,x<10min
449,x<10min
450,x<10min
451,x<10min
452,x<10min
453,x<10min
454,x<10min
455,x<10min
456,x<10min
457,x<10min
458,x<10min
459,x<10min
460,x<10min
461,x<10min
462,x<10min
463,x<10min
464,x<10min
465,x<10min
466,x<10min
467,x<10min
468,x<10min
469,x<10min
470,x<10min
471,x<10min
472,x<10min
473,x<10min
474,x<10min
475,x<10min
476,x<10min
477,x<10min
478,x<10min
479,x<10min
480,x<10min
481,x<10min
482,x<10min
483,x<10min
484,x<10min
485,x<10min
486,x<10min
487,x<10min
488,x<10min
489,x<10min
490,x<10min
491,x<10min
492,x<10min
493,x<10min
494,x<10min
495,x<10min
496,x<10min
497,x<10min
498,x<10min
499,x<10min
500,x<10min
501,x<10min
502,x<10min
503,x<10min
504,x<10min
505,x<10min
506,x<10min
507,x<10min
508,x<10min
509,x<10min
510,x<10min
511,x<10min
512,x<10min
513,x<10min
514,x<10min
515,x<10min
516,x<10min
517,x<10min
518,x<10min
519,x<10min
520,x<10min
521,x<10min
522,x<10min
523,x<10min
524,x<10min
525,x<10min
526,x<10min
527,x<10min
528,x<10min
529,x<10min
530,x<10min
531,x<10min
532,x<10min
533,x<10min
534,x<10min
535,x<10min
536,x<10min
537,x<10min
538,x<10min
539,x<10min
540,x<10min
541,x<10min
542,x<10min
543,x<10min
544,x<10min
545,x<10min
546,x<10min
547,x<10min
548,x<10min
549,x<10min
550,x<10min
551,x<10min
552,x<10min
553,x<10min
554,x<10min
555,x<10min
556,x<10min
557,x<10min
558,x<10min
559,x<10min
560,x<10min
561,x<10min
562,x<10min
563,x<10min
564,x<10min
565,x<10min
566,x<10min
567,x<10min
568,x<10min
569,x<10min
570,x<10min
571,x<10min
572,x<10min
573,x<10min
574,x<10min
575,x<10min
576,x<10min
577,x<10min
578,x<10min
579,x<10min
580,x<10min
581,x<10min
582,x<10min
583,x<10min
584,x<10min
585,x<10min
586,x<10min
587,x<10min
588,x<10min
589,x<10min
590,x<10min
591,x<10min
592,x<10min
593,x<10min
594,x<10min
595,x<10min
596,x<10min
597,x<10min
598,x<10min
599,x<10min
600,x<10min
601,x<10min
602,x<10min
603,x<10min
604,x<10min
605,x<10min
606,x<10min
607,x<10min
608,x<10min
609,x<10min
610,x<10min
611,x<10min
612,x<10min
613,x<10min
614,x<10min
615,x<10min
616,x<10min
617,x<10min
618,x<10min
619,x<10min
620,x<10min
621,x<10min
622,x<10min
623,x<10min
624,x<10min
625,x<10min
626,x<10min
627,x<10min
628,x<10min
629,x<10min
630,x<10min
631,x<10min
632,x<10min
633,x<10min
634,x<10min
635,x<10min
636,x<10min
637,x<10min
638,x<10min
639,x<10min
640,x<10min
641,x<10min
642,x<10min
643,x<10min
644,x<10min
645,x<10min
646,x<10min
647,x<10min
648,x<10min
649,x<10min
650,x<10min
651,x<10min
652,x<10min
653,x<10min
654,x<10min
655,x<10min
656,x<10min
657,x<10min
658,x<10min
659,x<10min
660,x<10min
661,x<10min
662,x<10min
663,x<10min
664,x<10min
665,x<10min
666,x<10min
667,x<10min
668,x<10min
669,x<10min
670,x<10min
671,x<10min
672,x<10min
673,x<10min
674,x<10min
675,x<10min
676,x<10min
677,x<10min
678,x<10min
679,x<10min
680,x<10min
681,x<10min
682,x<10min
683,x<10min
684,x<10min
685,x<10min
686,x<10min
687,x<10min
688,x<10min
689,x<10min
690,x<10min
691,x<10min
692,x<10min
693,x<10min
694,x<10min
695,x<10min
696,x<10min
697,x<10min
698,x<10min
699,x<10min
700,x<10min
701,x<10min
702,x<10min
703,x<10min
704,x<10min
705,x<10min
706,x<10min
707,x<10min
708,x<10min
709,x<10min
710,x<10min
711,x<10min
712,x<10min
713,x<10min
714,x<10min
715,x<10min
716,x<10min
717,x<10min
718,x<10min
719,x<10min
720,x<10min
721,x<10min
722,x<10min
723,x<10min
724,x<10min
725,x<10min
726,x<10min
727,x<10min
728,x<10min
729,x<10min
730,x<10min
731,x<10min
732,x<10min
733,x<10min
734,x<10min
735,x<10min
736,x<10min
737,x<10min
738,x<10min
739,x<10min
740,x<10min
741,x<10min
742,x<10min
743,x<10min
744,x<10min
745,x<10min
746,x<10min
747,x<10min
748,x<10min
749,x<10min
750,x<10min
751,x<10min
752,x<10min
753,x<10min
754,x<10min
755,x<10min
756,x<10min
757,x<10min
758,x<10min
759,x<10min
760,x<10min
761,x<10min
762,x<10min
763,x<10min
764,x<10min
765,x<10min
766,x<10min
767,x<10min
768,x<10min
769,x<10min
770,x<10min
771,x<10min
772,x<10min
773,x<10min
774,x<10min
775,x<10min
776,x<10min
777,x<10min
778,x<10min
779,x<10min
780,x<10min
781,x<10min
782,x<10min
783,x<10min
784,x<10min
785,x<10min
786,x<10min
787,x<10min
788,x<10min
789,x<10min
790,x<10min
791,x<10min
792,x<10min
793,x<10min
794,x<10min
795,x<10min
796,x<10min
797,x<10min
798,x<10min
799,x<10min
800,x<10min
801,x<10min
802,x<10min
803,x<10min
804,x<10min
805,x<10min
806,x<10min
807,x<10min
808,x<10min
809,x<10min
810,x<10min
811,x<10min
812,x<10min
813,x<10min
814,x<10min
815,x<10min
816,x<10min
817,x<10min
818,x<10min
819,x<10min
820,x<10min
821,x<10min
822,x<10min
823,x<10min
824,x<10min
825,x<10min
826,x<10min
827,x<10min
828,x<10min
829,x<10min
830,x<10min
831,x<10min
832,x<10min
833,x<10min
834,x<10min
835,x<10min
836,x<10min
837,x<10min
838,x<10min
839,x<10min
840,x<10min
841,x<10min
842,x<10min
843,x<10min
844,x<10min
845,x<10min
846,x<10min
847,x<10min
848,x<10min
849,x<10min
850,x<10min
851,x<10min
852,x<10min
853,x<10min
854,x<10min
855,x<10min
856,x<10min
857,x<10min
858,x<10min
859,x<10min
860,x<10min
861,x<10min
862,x<10min
863,x<10min
864,x<10min
865,x<10min
866,x<10min
867,x<10min
868,x<10min
869,x<10min
870,x<10min
871,x<10min
872,x<10min
873,x<10min
874,x<10min
875,x<10min
876,x<10min
877,x<10min
878,x<10min
879,x<10min
880,x<10min
881,x<10min
882,x<10min
883,x<10min
884,x<10min
885,x<10min
886,x<10min
887,x<10min
888,x<10min
889,x<10min
890,x<10min
891,x<10min
892,x<10min
893,x<10min
894,x<10min
895,x<10min
896,x<10min
897,x<10min
898,x<10min
899,x<10min
900,x<10min
901,x<10min
902,x<10min
903,x<10min
904,x<10min
905,x<10min
906,x<10min
907,x<10min
908,x<10min
909,x<10min
910,x<10min
911,x<10min
912,x<10min
913,x<10min
914,x<10min
915,x<10min
916,x<10min
917,x<10min
918,x<10min
919,x<10min
920,x<10min
921,x<10min
922,x<10min
923,x<10min
924,x<10min
925,x<10min
926,x<10min
927,x<10min
928,x<10min
929,x<10min
930,x<10min
931,x<10min
932,x<10min
933,x<10min
934,x<10min
935,x<10min
936,x<10min
937,x<10min
938,x<10min
939,x<10min
940,x<10min
941,x<10min
942,x<10min
943,x<10min
944,x<10min
945,x<10min
946,x<10min
947,x<10min
948,x<10min
949,x<10min
950,x<10min
951,x<10min
952,x<10min
953,x<10min
954,x<10min
955,x<10min
956,x<10min
957,x<10min
958,x<10min
959,x<10min
960,x<10min
961,x<10min
962,x<10min
963,x<10min
964,x<10min
965,x<10min
966,x<10min
967,x<10min
968,x<10min
969,x<10min
970,x<10min
971,x<10min
972,x<10min
973,x<10min
974,x<10min
975,x<10min
976,x<10min
977,x<10min
978,x<10min
979,x<10min
980,x<10min
981,x<10min
982,x<10min
983,x<10min
984,x<10min
985,x<10min
986,x<10min
987,x<10min
988,x<10min
989,x<10min
990,x<10min
991,x<10min
992,x<10min
993,x<10min
994,x<10min
995,x<10min
996,x<10min
997,x<10min
998,x<10min
999,x<10min
1000,x<10min
1001,x<10min
1002,x<10min
1003,x<10min
1004,x<10min
1005,x<10min
1006,x<10min
1007,x<10min
1008,x<10min
1009,x<10min
1010,x<10min
1011,x<10min
1012,x<10min
1013,x<10min
1014,x<10min
1015,x<10min
1016,x<10min
1017,x<10min
1018,x<10min
1019,x<10min
1020,x<10min
1021,x<10min
1022,x<10min
1023,x<10min
1024,x<10min
1025,x<10min
1026,x<10min
1027,x<10min
1028,x<10min
1029,x<10min
1030,x<10min
1031,x<10min
1032,x<10min
1033,x<10min
1034,x<10min
1035,x<10min
1036,x<10min
1037,x<10min
1038,x<10min
1039,x<10min
1040,x<10min
1041,x<10min
1042,x<10min
1043,x<10min
1044,x<10min
1045,x<10min
1046,x<10min
1047,x<10min
1048,x<10min
1049,x<10min
1050,x<10min
1051,x<10min
1052,x<10min
1053,x<10min
1054,x<10min
1055,x<10min
1056,x<10min
1057,x<10min
1058,x<10min
1059,x<10min
1060,x<10min
1061,x<10min
1062,x<10min
1063,x<10min
1064,x<10min
1065,x<10min
1066,x<10min
1067,x<10min
1068,x<10min
1069,x<10min
1070,x<10min
1071,x<10min
1072,x<10min
1073,x<10min
1074,x<10min
1075,x<10min
1076,x<10min
1077,x<10min
1078,x<10min
1079,x<10min
1080,x<10min
1081,x<10min
1082,x<10min
1083,x<10min
1084,x<10min
1085,x<10min
1086,x<10min
1087,x<10min
1088,x<10min
1089,x<10min
1090,x<10min
1091,x<10min
1092,x<10min
1093,x<10min
1094,x<10min
1095,x<10min
1096,x<10min
1097,x<10min
1098,x<10min
1099,x<10min
1100,x<10min
1101,x<10min
1102,x<10min
1103,x<10min
1104,x<10min
1105,x<10min
1106,x<10min
1107,x<10min
1108,x<10min
1109,x<10min
1110,x<10min
1111,x<10min
1112,x<10min
1113,x<10min
1114,x<10min
1115,x<10min
1116,x<10min
1117,x<10min
1118,x<10min
1119,x<10min
1120,x<10min
1121,x<10min
1122,x<10min
1123,x<10min
1124,x<10min
1125,x<10min
1126,x<10min
1127,x<10min
1128,x<10min
1129,x<10min
1130,x<10min
1131,x<10min
1132,x<10min
1133,x<10min
1134,x<10min
1135,x<10min
1136,x<10min
1137,x<10min
1138,x<10min
1139,x<10min
1140,x<10min
1141,x<10min
1142,x<10min
1143,x<10min
1144,x<10min
1145,x<10min
1146,x<10min
1147,x<10min
1148,x<10min
1149,x<10min
1150,x<10min
1151,x<10min
1152,x<10min
1153,x<10min
1154,x<10min
1155,x<10min
1156,x<10min
1157,x<10min
1158,x<10min
1159,x<10min
1160,x<10min
1161,x<10min
1162,x<10min
1163,x<10min
1164,x<10min
1165,x<10min
1166,x<10min
1167,x<10min
1168,x<10min
1169,x<10min
1170,x<10min
1171,x<10min
1172,x<10min
1173,x<10min
1174,x<10min
1175,x<10min
1176,x<10min
1177,x<10min
1178,x<10min
1179,x<10min
1180,x<10min
1181,x<10min
1182,x<10min
1183,x<10min
1184,x<10min
1185,x<10min
1186,x<10min
1187,x<10min
1188,x<10min
1189,x<10min
1190,x<10min
1191,x<10min
1192,x<10min
1193,x<10min
1194,x<10min
1195,x<10min
1196,x<10min
1197,x<10min
1198,x<10min
1199,x<10min
1200,x<10min
1201,x<10min
1202,x<10min
1203,x<10min
1204,x<10min
1205,x<10min
1206,x<10min
1207,x<10min
1208,x<10min
1209,x<10min
1210,x<10min
1211,x<10min
1212,x<10min
1213,x<10min
1214,x<10min
1215,x<10min
1216,x<10min
1217,x<10min
1218,x<10min
1219,x<10min
1220,x<10min
1221,x<10min
1222,x<10min
1223,x<10min
1224,x<10min
1225,x<10min
1226,x<10min
1227,x<10min
1228,x<10min
1229,x<10min
1230,x<10min
1231,x<10min
1232,x<10min
1233,x<10min
1234,x<10min
1235,x<10min
1236,x<10min
1237,x<10min
1238,x<10min
1239,x<10min
1240,x<10min
1241,x<10min
1242,x<10min
1243,x<10min
1244,x<10min
1245,x<10min
1246,x<10min
1247,x<10min
1248,x<10min
1249,x<10min
1250,x<10min
1251,x<10min
1252,x<10min
1253,x<10min
1254,x<10min
1255,x<10min
1256,x<10min
1257,x<10min
1258,x<10min
1259,x<10min
1260,x<10min
1261,x<10min
1262,x<10min
1263,x<10min
1264,x<10min
1265,x<10min
1266,x<10min
1267,x<10min
1268,x<10min
1269,x<10min
1270,x<10min
1271,x<10min
1272,x<10min
1273,x<10min
1274,x<10min
1275,x<10min
1276,x<10min
1277,x<10min
1278,x<10min
1279,x<10min
1280,x<10min
1281,x<10min
1282,x<10min
1283,x<10min
1284,x<10min
1285,x<10min
1286,x<10min
1287,x<10min
1288,x<10min
1289,x<10min
1290,x<10min
1291,x<10min
1292,x<10min
1293,x<10min
1294,x<10min
1295,x<10min
1296,x<10min
1297,x<10min
1298,x<10min
1299,x<10min
1300,x<10min
1301,x<10min
1302,x<10min
1303,x<10min
1304,x<10min
1305,x<10min
1306,x<10min
1307,x<10min
1308,x<10min
1309,x<10min
1310,x<10min
1311,x<10min
1312,x<10min
1313,x<10min
1314,x<10min
1315,x<10min
1316,x<10min
1317,x<10min
1318,x<10min
1319,x<10min
1320,x<10min
1321,x<10min
1322,x<10min
1323,x<10min
1324,x<10min
1325,x<10min
1326,x<10min
1327,x<10min
1328,x<10min
1329,x<10min
1330,x<10min
1331,x<10min
1332,x<10min
1333,x<10min
1334,x<10min
1335,x<10min
1336,x<10min
1337,x<10min
1338,x<10min
1339,x<10min
1340,x<10min
1341,x<10min
1342,x<10min
1343,x<10min
1344,x<10min
1345,x<10min
1346,x<10min
1347,x<10min
1348,x<10min
1349,x<10min
1350,x<10min
1351,x<10min
1352,x<10min
1353,x<10min
1354,x<10min
1355,x<10min
1356,x<10min
1357,x<10min
1358,x<10min
1359,x<10min
1360,x<10min
1361,x<10min
1362,x<10min
1363,x<10min
1364,x<10min
1365,x<10min
1366,x<10min
1367,x<10min
1368,x<10min
1369,x<10min
1370,x<10min
1371,x<10min
1372,x<10min
1373,x<10min
1374,x<10min
1375,x<10min
1376,x<10min
1377,x<10min
1378,x<10min
1379,x<10min
1380,x<10min
1381,x<10min
1382,x<10min
1383,x<10min
1384,x<10min
1385,x<10min
1386,x<10min
1387,x<10min
1388,x<10min
1389,x<10min
1390,x<10min
1391,x<10min
1392,x<10min
1393,x<10min
1394,x<10min
1395,x<10min
1396,x<10min
1397,x<10min
1398,x<10min
1399,x<10min
1400,x<10min
1401,x<10min
1402,x<10min
1403,x<10min
1404,x<10min
1405,x<10min
1406,x<10min
1407,x<10min
1408,x<10min
1409,x<10min
1410,x<10min
1411,x<10min
1412,x<10min
1413,x<10min
1414,x<10min
1415,x<10min
1416,x<10min
1417,x<10min
1418,x<10min
1419,x<10min
1420,x<10min
1421,x<10min
1422,x<10min
1423,x<10min
1424,x<10min
1425,x<10min
1426,x<10min
1427,x<10min
1428,x<10min
1429,x<10min
1430,x<10min
1431,x<10min
1432,x<10min
1433,x<10min
1434,x<10min
1435,x<10min
1436,x<10min
1437,x<10min
1438,x<10min
1439,x<10min
1440,x<10min
1441,x<10min
1442,x<10min
1443,x<10min
1444,x<10min
1445,x<10min
1446,x<10min
1447,x<10min
1448,x<10min
1449,x<10min
1450,x<10min
1451,x<10min
1452,x<10min
1453,x<10min
1454,x<10min
1455,x<10min
1456,x<10min
1457,x<10min
1458,x<10min
1459,x<10min
1460,x<10min
1461,x<10min
1462,x<10min
1463,x<10min
1464,x<10min
1465,x<10min
1466,x<10min
1467,x<10min
1468,x<10min
1469,x<10min
1470,x<10min
1471,x<10min
1472,x<10min
1473,x<10min
1474,x<10min
1475,x<10min
1476,x<10min
1477,x<10min
1478,x<10min
1479,x<10min
1480,x<10min
1481,x<10min
1482,x<10min
1483,x<10min
1484,x<10min
1485,x<10min
1486,x<10min
1487,x<10min
1488,x<10min
1489,x<10min
1490,x<10min
1491,x<10min
1492,x<10min
1493,x<10min
1494,x<10min
1495,x<10min
1496,x<10min
1497,x<10min
1498,x<10min
1499,x<10min
1500,x<10min
1501,x<10min
1502,x<10min
1503,x<10min
1504,x<10min
1505,x<10min
1506,x<10min
1507,x<10min
1508,x<10min
1509,x<10min
1510,x<10min
1511,x<10min
1512,x<10min
1513,x<10min
1514,x<10min
1515,x<10min
1516,x<10min
1517,x<10min
1518,x<10min
1519,x<10min
1520,x<10min
1521,x<10min
1522,x<10min
1523,x<10min
1524,x<10min
1525,x<10min
1526,x<10min
1527,x<10min
1528,x<10min
1529,x<10min
1530,x<10min
1531,x<10min
1532,x<10min
1533,x<10min
1534,x<10min
1535,x<10min
1536,x<10min
1537,x<10min
1538,x<10min
1539,x<10min
1540,x<10min
1541,x<10min
1542,x<10min
1543,x<10min
1544,x<10min
1545,x<10min
1546,x<10min
1547,x<10min
1548,x<10min
1549,x<10min
1550,x<10min
1551,x<10min
1552,x<10min
1553,x<10min
1554,x<10min
1555,x<10min
1556,x<10min
1557,x<10min
1558,x<10min
1559,x<10min
1560,x<10min
1561,x<10min
1562,x<10min
1563,x<10min
1564,x<10min
1565,x<10min
1566,x<10min
1567,x<10min
1568,x<10min
1569,x<10min
1570,x<10min
1571,x<10min
1572,x<10min
1573,x<10min
1574,x<10min
1575,x<10min
1576,x<10min
1577,x<10min
1578,x<10min
1579,x<10min
1580,x<10min
1581,x<10min
1582,x<10min
1583,x<10min
1584,x<10min
1585,x<10min
1586,x<10min
1587,x<10min
1588,x<10min
1589,x<10min
1590,x<10min
1591,x<10min
1592,x<10min
1593,x<10min
1594,x<10min
1595,x<10min
1596,x<10min
1597,x<10min
1598,x<10min
1599,x<10min
1600,x<10min
1601,x<10min
1602,x<10min
1603,x<10min
1604,x<10min
1605,x<10min
1606,x<10min
1607,x<10min
1608,x<10min
1609,x<10min
1610,x<10min
1611,x<10min
1612,x<10min
1613,x<10min
1614,x<10min
1615,x<10min
1616,x<10min
1617,x<10min
1618,x<10min
1619,x<10min
1620,x<10min
1621,x<10min
1622,x<10min
1623,x<10min
1624,x<10min
1625,x<10min
1626,x<10min
1627,x<10min
1628,x<10min
1629,x<10min
1630,x<10min
1631,x<10min
1632,x<10min
1633,x<10min
1634,x<10min
1635,x<10min
1636,x<10min
1637,x<10min
1638,x<10min
1639,x<10min
1640,x<10min
1641,x<10min
1642,x<10min
1643,x<10min
1644,x<10min
1645,x<10min
1646,x<10min
1647,x<10min
1648,x<10min
1649,x<10min
1650,x<10min
1651,x<10min
1652,x<10min
1653,x<10min
1654,x<10min
1655,x<10min
1656,x<10min
1657,x<10min
1658,x<10min
1659,x<10min
1660,x<10min
1661,x<10min
1662,x<10min
1663,x<10min
1664,x<10min
1665,x<10min
1666,x<10min
1667,x<10min
1668,x<10min
1669,x<10min
1670,x<10min
1671,x<10min
1672,x<10min
1673,x<10min
1674,x<10min
1675,x<10min
1676,x<10min
1677,x<10min
1678,x<10min
1679,x<10min
1680,x<10min
1681,x<10min
1682,x<10min
1683,x<10min
1684,x<10min
1685,x<10min
1686,x<10min
1687,x<10min
1688,x<10min
1689,x<10min
1690,x<10min
1691,x<10min
1692,x<10min
1693,x<10min
1694,x<10min
1695,x<10min
1696,x<10min
1697,x<10min
1698,x<10min
1699,x<10min
1700,x<10min
1701,x<10min
1702,x<10min
1703,x<10min
1704,x<10min
1705,x<10min
1706,x<10min
1707,x<10min
1708,x<10min
1709,x<10min
1710,x<10min
1711,x<10min
1712,x<10min
1713,x<10min
1714,x<10min
1715,x<10min
1716,x<10min
1717,x<10min
1718,x<10min
1719,x<10min
1720,x<10min
1721,x<10min
1722,x<10min
1723,x<10min
1724,x<10min
1725,x<10min
1726,x<10min
1727,x<10min
1728,x<10min
1729,x<10min
1730,x<10min
1731,x<10min
1732,x<10min
1733,x<10min
1734,x<10min
1735,x<10min
1736,x<10min
1737,x<10min
1738,x<10min
1739,x<10min
1740,x<10min
1741,x<10min
1742,x<10min
1743,x<10min
1744,x<10min
1745,x<10min
1746,x<10min
1747,x<10min
1748,x<10min
1749,x<10min
1750,x<10min
1751,x<10min
1752,x<10min
1753,x<10min
1754,x<10min
1755,x<10min
1756,x<10min
1757,x<10min
1758,x<10min
1759,x<10min
1760,x<10min
1761,x<10min
1762,x<10min
1763,x<10min
1764,x<10min
1765,x<10min
1766,x<10min
1767,x<10min
1768,x<10min
1769,x<10min
1770,x<10min
1771,x<10min
1772,x<10min
1773,x<10min
1774,x<10min
1775,x<10min
1776,x<10min
1777,x<10min
1778,x<10min
1779,x<10min
1780,x<10min
1781,x<10min
1782,x<10min
1783,x<10min
1784,x<10min
1785,x<10min
1786,x<10min
1787,x<10min
1788,x<10min
1789,x<10min
1790,x<10min
1791,x<10min
1792,x<10min
1793,x<10min
1794,x<10min
1795,x<10min
1796,x<10min
1797,x<10min
1798,x<10min
1799,x<10min
1800,x<10min
1801,x<10min
1802,x<10min
1803,x<10min
1804,x<10min
1805,x<10min
1806,x<10min
1807,x<10min
1808,x<10min
1809,x<10min
1810,x<10min
1811,x<10min
1812,x<10min
1813,x<10min
1814,x<10min
1815,x<10min
1816,x<10min
1817,x<10min
1818,x<10min
1819,x<10min
1820,x<10min
1821,x<10min
1822,x<10min
1823,x<10min
1824,x<10min
1825,x<10min
1826,x<10min
1827,x<10min
1828,x<10min
1829,x<10min
1830,x<10min
1831,x<10min
1832,x<10min
1833,x<10min
1834,x<10min
1835,x<10min
1836,x<10min
1837,x<10min
1838,x<10min
1839,x<10min
1840,x<10min
1841,x<10min
1842,x<10min
1843,x<10min
1844,x<10min
1845,x<10min
1846,x<10min
1847,x<10min
1848,x<10min
1849,x<10min
1850,x<10min
1851,x<10min
1852,x<10min
1853,x<10min
1854,x<10min
1855,x<10min
1856,x<10min
1857,x<10min
1858,x<10min
1859,x<10min
1860,x<10min
1861,x<10min
1862,x<10min
1863,x<10min
1864,x<10min
1865,x<10min
1866,x<10min
1867,x<10min
1868,x<10min
1869,x<10min
1870,x<10min
1871,x<10min
1872,x<10min
1873,x<10min
